Name Company,Company Overview,Company Size,Company Address,Industry,company_id
789betsco,"789bet - 789betsco là nhà cái cá cược thuộc tập đoàn Premier Gateway International, có trụ sở tại Philippines. 789bet có các game cá cược như casino, đá gà, cá độ bóng đá789bet - 789betsco là nhà cái cá cược thuộc tập đoàn Premier Gateway International, có trụ sở tại Philippines. 789bet có các game cá cược như casino, đá gà, cá độ bóng đá Lịch sử hình thành 789Bet Nhà cái 789Bet được thành lập từ năm 2006 bởi CEO Vương Thành Nhân tại Manila, Philippines, là công ty con của tập đoàn giải trí đa quốc gia Premier Gateway International Tầm nhìn cốt lõi Các nhà đầu tư của 789Bet luôn thống nhất rằng, giá trị và tầm nhìn cốt lõi của nhà cái chúng tôi chính là tạo ra một môi trường cá cược an toàn – minh bạch và cập nhật xu thế. Điều này luôn được đội ngũ lãnh đạo và các nhân viên của 789Bet ghi nhớ và thực hiện mỗi ngày. Địa chỉ: 219/4 Đất Thánh, Phường 6, Tân Bình, Thành phố Hồ Chí Minh, 71900 Email: 789betsco@gmail,com Website: https://789bets.co/",25-99,"219/4 Đất Thánh, Phường 6, Tân Bình, Thành Phố Hồ Chí Minh",SEO,C_637c03c7
8 SANG BDS COMPANY LIMITED,"Hội Thiện Nguyện BDS - BDS 8 Sang là hội nhóm thiện nguyện hoạt động tích cực trong những năm gần đây. Với tiêu chí giúp đỡ những người khó khăn trên khắp mọi miền Tổ quốc, hội đã từng bước đi vào hoạt động và ngày càng lớn mạnh.Bên cạnh đó, để duy trì chi phí hoạt động, Hội Thiện Nguyện BDS đã phát triển các mảng kinh doanh khác nhau và cũng để có thể giúp đỡ được nhiều hoàn cảnh khó khăn hơn nữa. Cùng với nhu cầu phát triển, chúng tôi đang tìm kiếm ứng viên hỗ trợ công việc của công ty và của Hội.",10-24,"166 Đường số 5, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Marketing / Truyền thông / Quảng cáo,C_427b7058
88 DIGITAL COMPANY,88Digital chuyên về lĩnh vực SEO và thiết kế website. Mục tiêu của chúng tôi là đem đến sự hài lòng cho khách hàng và niềm hạnh phúc cho các nhân viên đồng hành.,10-24,"83 Nguyễn Gia Trí, Phường 25, Q.Bình Thạnh, Thành phố Hồ Chí Minh",Marketing / Truyền thông / Quảng cáo,C_8ed47aed
: CÔNG TY CỔ PHẦN TẬP ĐOÀN TƯ VẤN VÀ ĐẦU TƯ PHÁT TRIỂN DỰ ÁN BẤT ĐỘNG SẢN T&V,Đang cập nhật,25-99,"Kiot 8A, No2, khu đô thị Pháp vân, phường Hoàng Liệt, quận Hoàng Mai, thành phố Hà Nội",Kinh doanh / Bán hàng,C_5ad9d335
????????̣̂ ????????????̂́???????? ???????????? ????????????????????????,"IZI - Nightlife Experience is seen as an empty box, where the beauty is created by the customers. With minimal space, it will be easy to design and decorate according to the purpose of the event.Trải nghiệm cuộc sống về đêm được xem như một chiếc hộp rỗng, nơi mà vẻ đẹp được tạo ra bởi khách hàng. Với không gian tối thiểu sẽ dễ dàng thiết kế và trang trí theo mục đích của sự kiện. - Hưởng BHXH, đãi ngộ hấp dẫn, TIP & SERVICE CHARGE,…",Đang cập nhật,21 Ngô Đức Kế,Nhân Viên Phục Vụ Bar,C_ed1ed8df
A Plus,"Công Ty TNHH A Plus Market là công ty sở hữu thế mạnh xoay quanh việc phát triển dịch vụ đầu tư tài chính bao gồm chứng khoán cổ phiếu và các sản phẩm được giao dịch trên thị trường Quốc tế như Vàng, Bạc, Dầu, Các đồng tiền điện tử, Ngoại hối,…",Đang cập nhật,"218 Nguyễn Văn Hưởng, Thảo Điền, Quận 2",nhân viên môi giới chứng khoán,C_51da7c66
ABA CHEMICAL,"ABA Chemical là nhà nhập khẩu, nghiên cứu công nghệ và gia công sản xuất các sản phẩm thuốc BVTV, Chế phẩm dinh dưỡng – Phân bón, Phụ gia ngành nông nghiệp.",100-499,"Tầng 1, B19 đường dẫn cầu Cần Thơ, Quốc lộ 1A, KDC TTVH Tây Đô, Phường Hưng Thạnh, Quận Cái Răng, Thành phố Cần Thơ",Hoá học / Sinh học,C_c61622b9
AGS Accounting Limited Company,"Công ty TNHH Kế toán - Kiểm toán AGSVề công ty chúng tôi:-Thành lập ngày 10 tháng 9 năm 2012-Đội ngũ nhân viên: ~ 200 nhân viên (Trong đó 2 Giám đốc người Nhật thường trú)-Đội ngũ CPA: 10 CPA VN(Bao gồm Kế toán viên và Kiểm toán viên hành nghề)-Số lượng khách hàng: ~ 500 khách hàng là doanh nghiệp Nhật Bản-Sứ mệnh: Chúng tôi đang nỗ lực trở thành cố vấn tốt nhất cho doanh nghiệp Việt Nam.Chúng tôi cung cấp các dịch vụ như sau:-Kế toán/Thuế: Báo cáo tài chính tháng, PIT, VAT, CIT, quyết toán thuế, báo cáo hợp nhất, tư vấn chung (Đội ngũ kế toán viên-kiểm toán viên người Nhật thường trực tại văn phòng);-Kiểm toán: Thực hiện điều tra kiểm toán theo yêu cầu của công ty;-Thành lập doanh nghiệp/ Thủ tục lưu trú: Hỗ trợ vấn đề liên quan đến lưu trú (Giấy phép lao động, Visa), thay đổi bổ sung giấy phép về thành lập pháp nhân, văn phòng đại diện, thủ tục giải thể, bổ sung mã HS, thay đổi người đại diện, mua bán và sáp nhập;-Pháp lý lao động: Tư vấn về luật pháp, điều tra, lập hợp đồng, lao động, mua bán và sáp nhập, giải quyết tranh chấp;-Hỗ trợ hành chính tổng vụ: Hỗ trợ lập hợp đồng, biên bản ghi nợ, quản lý thu nhập, biên phiên dịch, thủ tục ngân hàng, thủ tục bảo hiểm;M&A: Hỗ trợ trọn gói về đầu tư, báo cáo thẩm định, xin giấy phép kinh doanh, hợp đồng, kế toán - thuế.Văn phòng làm việc của chúng tôi:Tp.HCM:- Tòa nhà Harbour View, số 35 Nguyễn Huệ, P. Bến Nghé, quận 1.- Tòa nhà IBC, số 1A Công Trường Mê Linh, P. Bến Nghé, quận 1.Hà Nội:- Tòa nhà Hoàng Sâm, số 260-262 Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng.Đà Nẵng:- Tầng 4, Tòa nhà Sunrise, số 25 Đường 2/9, phường Hòa Cường Nam, Quận Hải ChâuNghệ An:- Tầng 3, tòa nhà An Phát Complex, đại lộ 72, xã Nghi Phú, TP. Vinh(*) Thông tin thêm tại:- Facebook fanpage: https://www.facebook.com/AGSACC.ADI.Vietnam- Twitter: https://twitter.com/AGSRecruitment- AGS Website: http://ags-vn.com- Linked in: https://www.linkedin.com/company/ags-accounting-vietnam/",100-499,"12F, Habour Tower View, 35 Nguyen Hue Street, District 1, HCMC",Kế toán / Kiểm toán,C_1092b9e7
AHAMOVE - Người vận chuyển của bạn,"Công ty hàng đầu trong llĩnh vực giao nhận cho thương mại điện tử (e-commerce), cung cấp nền tảng công nghệ - ứng dụng kết nối những người có nhu cầu giao hàng trong nội thành (buôn bán online, các tiểu thương) với các tài xế shipper.",500-999,"Tầng 9, tòa nhà Mipec, 229 Tây Sơn, Đống Đa, Hà Nội Tòa nhà Rivera Park, 7/28, Thành Thái, Phường 14, Quận 10",Logistics,C_a919c724
AI SMILE,"Niền răng trong suốt AI SMILETháo lắp dễ dàng, nhanh chóng, cho bạn nụ cười hoàn hảo",25-99,"2 Tôn Đức Thắng, Bến Nghé, Quận 1",Marketing / Truyền thông / Quảng cáo,C_11dadae0
AIA Đã Nẵng,Đang cập nhật,25-99,Đà Nẵng,Kinh doanh / Bán hàng,C_c25d873c
AIST VIETNAM LLC,"Maxim booking car and delivery app (AIST VIETNAM LLC) is an online transportation service successfully working in several cities in Vietnam. Maxim is responsible for developing interaction technologies for the taxi market participants: passengers, drivers and couriers.Our company is constantly extending its geographic reach and aims to become a global brand.Our mission is to continuously improve the interaction between our users, and help people move towards their goals. In each city, we step up the competition, work for the benefit of both the people and the economy. We love creating technologies and a business that are on par with our industry's leading global companies.",1-9,"16 Tống Duy Tân, Phường Hòa Minh, Quận Liên Chiểu, Thành phố Đà Nẵng, Viet Nam",Kinh doanh / Bán hàng,C_efdaca17
AJ Rental Company,"AJ Networks - Là công ty hàng đầu trong lĩnh vực cho thuê thiếtbị tại Hàn Quốc. Tại Việt Nam AJ Rental Việt Nam tiếp nối dịch vụ chuyên cung cấp các dịch vụ cho thuê như cho thuê các thiết bị công nghệ thông tin (máy tính, máy in côngnghiệp đa năng), thiết bị lọc không khí và xe nâng hàng. Chúng tôi mang đến sự thành công cho khách hàng và sự phát triển của quý công ty. AJ cung cấp các sản phẩm đa dạng với số lượng lớn cho khách hàng và nhà thầu thi công cũng như khách hàng truyềnthống, khách hàng sử dụng thiết bị văn phòng (CNTT - máy in, máy photocopy, máy tính) và đã phát triển một cách mạnh mẽ từ doanh nghiệp đến doanh nghiệp (B2B) sangdoanh nghiệp đến người tiêu dùng (B2C) bằng việc niêm yết trên thị trường chứng khoán, qua đó chúng tôi được biết đến như một công ty cho thuê uy tín hàng đầu đồng thời Công ty cùng chuyên cho thuê thiết bị xe nâng hàng Clark-Huyndai cùng các thương hiệu nổi tiếng toàn cầu và giải pjháp an toàn nâng hạ cho các cơ quan và nhà xưởng...",25-99,"518B Điện Biên Phủ,Phường 21,Quận Bình Thạnh,TP.HCM",Cơ khí / Chế tạo / Tự động hóa,C_ad2346ad
"AKZ DESIGNS .,JSC",Đang cập nhật,1-9,"69, ngõ 341, Xuân Phương, Nam Từ Liêm, HN",Kinh doanh / Bán hàng,C_5a964cb0
AMIGO,"Amigo là nhà cung cấp Dịch vụ CNTT và Giải pháp Dịch vụ Tài Chính cá nhân hàng đầu Việt Nam.Amigo phát triển với định hướng mang tới cho khách hàng các dịch vụ Tài chính, Công nghệ hiện đại nhằm nâng cao năng lực cạnh tranh, khẳng định vị thế trên thị trường.Trong thời gian qua, Amigo đã trải qua quá trình tái cấu trúc để trở nên lớn mạnh, vững vàng như hôm nay.o Tháng 01 năm 2005 thành lập Công ty TNHH Phát triển công nghệ và Giải pháp Mạngo Năm 2006 công ty đổi tên thành Công ty Cổ phần Hệ thống Thông tino Năm 2008 công ty tái cấu trúc bộ máy và đổi tên thành Công ty cổ phần công nghệ Bằng Hữu (Amigo Technologies)o Năm 2008, thành lập Quant-edge, Công ty cung cấp dịch vụ phần mềm cho ngành tài chính- ngân hàng.o Năm 2012, thành lập Vinatti, Công ty chuyên về lĩnh vực thanh toáno Năm 2014, thành lập Direct Money, Công ty chuyên về lĩnh vực tiếp thị sản phẩm tài chính hướng đối tượngTháng 12 năm 2014 Amigo Technologies ra mắt nhận diện thương hiệu mớiAmigo hiện là đối tác chiến lược của nhiều nhà cung cấp giải pháp và thiết bị CNTT hàng đầu trên thế giới như IBM, HPE, Dell, Oracle, Microsoft, VMWare, NetApp, Symantec, Cisco, Juniper, Avaya, Aver, APC, Eaton, BitDefender, Radisys, Dialogic, Infosys, 3i-infotech, Newgen, Temenos, Openway, Nucleus, TCS... Cùng với các đối tác, đội ngũ tư vấn và kỹ thuật của Amigo đã triển khai thành công nhiều dự án công nghệ thông tin thuộc nhiều lĩnh vực khác nhau.Với kiến thức của các chuyên gia tài chính - công nghệ hàng đầu và kinh nghiệm thực tế trong nhiều dự án CNTT lớn, Amigo luôn đưa ra những đánh giá và giải pháp mang tính chiến lược cao, phù hợp với từng khách hàng. Kinh nghiệm làm việc, tính chuyên nghiệp và tinh thần trách nhiệm cao là một số nhân tố quan trọng tạo ra tính khác biệt của Amigo, khiến chúng tôi trở thành đối tác lâu dài và đáng tin cậy đối với khách hàng",100-499,"P501, tầng 5, tòa IPH, số 241 Xuân Thủy, Cầu Giấy, Hà Nội",Kinh doanh / Bán hàng,C_d94729ce
ANNAM GOURMET,"Annam Gourmet bắt nguồn từ niềm đam mê về ẩm thực Châu Âu của các nhà sáng lập. Từ khởi đầu khiêm tốn tại một cửa hàng nhỏ với một vài sản phẩm, Annam Goument ngày nay đã và đang trên đà phát triển mạnh mẽ với một chuỗi cửa hàng tại hai miền Bắc Nam của Việt Nam. Chúng tôi đã có kinh nghiệm hơn 20 năm mang đến những sản phẩm chất lượng cao cấp cho những người sành ăn. Annam Gourmet là đứa con tinh thần của hai nhà sáng lập người Pháp -Việt có tình yêu về ẩm thực sâu sắc. Qua những chuyến du ngoạn khắp Châu Âu, họ luôn thấy thích thú và thường xuyên đem về Việt Nam những chai rượu vang, phô mai, hay những sản phẩm được sản xuất hạn chế. Từ đó họ mơ ước có thể tìm thấy nguồn cung cấp những sản phẩm chất lượng này tại quê nhà và nung nấu ý tưởng mở một cửa hàng thực phẩm châu Âu ngay tại thành phố Hồ Chí Minh và cơ sở đầu tiên được thành lập tại đường Hồ Tùng Mậu. Hơn thế nữa, các cửa hàng của chúng tôi tự hào sở hữu Annam Gourmet Café - một không gian để bạn có thể thư giãn, thưởng thức tách cà phê cùng bạn bè hay ngồi lại với nhau bên những dĩa phô mai thượng hạng và thưởng thức những ly rượu vang tuyệt vời. Chúng tôi sẽ không ngừng đổi mới và phát triển hoạt động kinh doanh của mình để đảm bảo mang đến cho bạn những trải nghiệm tốt nhất về ẩm thực và phong cách sống.",100-499,"Lầu 5, 322 Điện Biên Phủ , Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Kinh doanh / Bán hàng,C_3bebb82c
"AOKANG, EXULL MODE VIỆT NAM - CÔNG TY TNHH THỜI TRANG AN VIỆT SÔNG HỒNG","Công ty TNHH Thời trang An Việt Sông Hồng là doanh nghiệp nhập khẩu và phân phối độc quyền hai thương hiệu Giày da và Giày nữ thời trang cao cấp AOKANG, EXULL Mode tại Việt Nam. Công Ty TNHH Thời trang An Việt Sông Hồng mong muốn đem lại cho người tiêu dùng Việt Nam những sản phẩm thời trang giày dép tốt nhất với tiêu chí ba nhất: Phong cách nhất Chất lượng nhất Dịch vụ hoàn hảo nhất",100-499,"P307, tầng 3, tòa B, Khối văn phòng và dịch vụ, TTTM Savico Long Biên, số 7-9 Nguyễn Văn Linh, Long Biên, Hà Nội.",Kinh doanh / Bán hàng,C_e6bac3cb
APAX Leaders...,0946173915,25-99,Hồ Chí MinhQuận 3198 Nguyễn Thị Minh Khai,nhân viên giáo vụ,C_fec62d5a
ARTECH SMARTBUY JOINT STOCK COMPANY,"Công ty Cổ Phần ARTECH SMARTBUY chuyên cung cấp cho các dự án, bán lẻ, bán sỉ sản phẩm công nghệ, điện máy gia dụng đến từ nhiều thương hiệu nổi tiếng.",10-24,"Phường Tân Phong, Quận 7",Kinh doanh / Bán hàng,C_7c5a6c55
ASEV TRAVEL - Vietnam,Đang cập nhật,10-24,"No.08 Street No.66, Thao Dien Ward, Thu Duc District, HCMC",Du lịch,C_03f134e7
ASIANWAY TRAVEL jsc,"ASIANWAY TRAVEL, the professional Inbound Travel Company, which is established in early 2006 with head office in Hanoi, Vietnam and branch office in Ho Chi Minh City. ASIANWAY TRAVEL is now chosen by various travel market including America, Israel, EU, Australia and across Asia. Our young, creative, dynamic and well trained teams are working dedicatedly in detail to bring guest the utmost quality travel service with emotion. We are expanding rapidly and here's your chance to be part of this young and dynamic team, who's determined to make the dream of affordable and meaningful worldwide travel come true. Asianway Travel was awarded The CERTIFICATE OF EXCELLENCE 2015 Asianway Travel was established in early 2006 with key persons from some leading inbound travel agents in Hanoi, Vietnam and our partners from across Asia, Europe, America , Canada and Israel. This is an advantage in keeping our perfect services with the most competitive price and experienced management. From the beginning, Asianway Travel has been built our own culture service in purpose of giving to travelers the most memorial time in our beautiful country. Thanks to our strong and professional team, Asianway Travel has served thousands per year of happy customers and many of them back to travel with us many times. The way we CARE YOUR EVERY STEP is to make it a great new enjoyment of the holiday for every step you take. Asianway Travel with a slogan element ensures to bring you from surprise to surprise event on same routes. Let’s inspire every mile with new travel experience and happiness. “INSPIRING YOUR EVERY MILE”. “ Our Team Our team comprises of experienced and dedicated travel specailits, tour operators and tour guides who will be by your side during your travel in Vietnam and Indochina. Visit us at www.asianwaytravel.com",10-24,"Phòng 311, Tòa Hei, số 1 phố Ngụy như Kontum, Thanh xuân, Hà Nội",Kế toán / Kiểm toán,C_90e40618
AT SOFT JOINT STOCK COMPANY,"AT SOFT is a company specializing in the field of developing and releasing games and applications on mobile devices. We have over 8 years of development experience before deciding to set up the company in 2022.AT SOFT targets the US and European markets.With a young and enthusiastic team, we are aiming for quality products to serve users around the world on both iOS and Android platforms.Future goal in the next 3 years AT SOFT will be in the top 100 best game & app publishers in the world.AT SOFT JOINT STOCK COMPANYAddress: Office VP2A Green Pearl Building No. 378 Minh Khai Street, Vinh Tuy Ward, Hai Ba Trung District, Hanoi City, Vietnam.",25-99,"Văn phòng VP2A Tòa Green Pearl số 378 Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, TP Hà Nội",Công nghệ cao,C_e32e855a
ATALINK TECHNOLOGY JOINT STOCK COMPANY,"ATALINK – Cloud-based Procurement Management Solution-as-a-Service. With the platform to foster integrity, transparency, centered around the efficiency in management as the key motivation for client's success, we helps businesses increase value through unique capability to link and interact seamlessly with partners, with the market. Our large-scale, standardized database with diverse industries, categories and products provide outstanding strength for your business's procurement system, meeting the most harsh requirements at the state-of-the-art level.'",25-99,"3rd Floor, QTSC 1 Building, Block 34, Street No.14, Quang Trung Software City, Tan Chanh Hiep Ward, District 12, Ho Chi Minh City, Viet Nam",Marketing / Truyền thông / Quảng cáo,C_2d57b3ac
ATM ONLINE,"Bạn đang có một kế hoạch và cần tiền để thực hiện ngay lúc này?Bạn cảm thấy mệt mỏi khi mất nhiều thời gian cho các thủ tục phức tạp từ những tổ chức tài chính?Bạn muốn vay vốn nhưng lại ngại đến ngân hàng?Hãy liên hệ với chúng tôi – ATM Online – giải pháp tài chính trực tuyến hàng đầu tại Việt Nam. Tại đây các vấn đề về tài chính của bạn sẽ được giải quyết nhanh chóng, đơn giản với mức phí hợp lý.",100-499,"Nguyễn Văn Đậu, phường 11, quận Bình Thạnh",Ngân hàng / Tài chính,C_4e25e524
ATM Online Vietnam,"ATM Online được thành lập vào tháng 01 năm 2017 với thương hiệu ATM Online. Là một công ty chuyên về giải pháp tài chính trực tuyến ưu việt hàng đầu tại Việt Nam, ATM Online mang đến nhiều lựa chọn về giải pháp tài chính nhanh chóng, tiện lợi với mức phí phù hợp. ATM Online tự hào là công ty tiên phong trong việc ứng dụng công nghệ hiện đại và áp dụng chặt chẽ quy trình để tối ưu hoá trải nghiệm đi vay của khách hàng. Cùng với sứ mệnh mang đến cơ hội tiếp cận các khoản vay cho người dân Việt Nam, ATM Online luôn nỗ lực tạo một môi trường lý tưởng, nơi các bạn trẻ được thể hiện chính mình với tất cả nhiệt huyết và sự sáng tạo nhất. Với phương châm “Hợp tác để cùng thành công” và định hướng “Liên tục phát triển không ngừng”, ATM Online xác định mục tiêu sẽ là vị trí dẫn đầu trong số các công ty fintech cung cấp các sản phẩm vay trực tuyến tốt nhất với sự trải nghiệm hoàn hảo nhất cho người đi vay .",100-499,"Văn phòng 02, Tầng 8, Tòa nhà Pearl Plaza, số 561A Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh",Ngân hàng / Tài chính,C_201f62dd
AUGROUP VIETNAM,"Với nền tảng là một doanh nghiệp đa ngành trong lĩnh vực cung cấp các dịch vụ về du lịch, chúng tôi cung cấp vé máy bay, sản phẩm du lịch trọn gói, đặt phòng khách sạn và combo du lịch. Hiện tại, AuGroup là đại lý bán vé máy bay cấp 1 của các hãng hàng không Vietjet Air, Vietnam Airlines, Bamboo Airways, Pacific Airlines và hợp tác với hơn 300 hãng hàng không quốc tế.",25-99,9A THANH LIỆT THANH TRÌ,Du lịch,C_ec83b9b0
